time_start_demog,time_diff_trials,sex,browser,screenWidth,time_start_experiment,windowWidth,monitor,comments,time_diff_demog,time_end_demog,time_diff_experiment,degree,timestamp,time_end_trials,time_end_experiment,postId,browserVersion,participantCount,workerId,age,screenHeight,windowHeight,postID,time_start_trials
1440102529312,42529,Female,Chrome,1280,1440102464819,1280,15,Thank you!,7894,1440102537206,396466,Bachelors,1440102875008,1440102861277,1440102861285,idkntpes,44,48,76F508,30-39,984,923,idkntpes,1440102818748
1440200976782,24399,Female,Chrome,1440,1440200949003,909,13,None,4585,1440200981367,1516400,High School,1440202482438,1440202465399,1440202465403,idmagk6b,44,154,1621EF,18-24,873,778,idmagk6b,1440202441000
1440184509216,232464,Female,Chrome,1280,1440184477056,1280,13,I enjoyed participating in the study.,10705,1440184519921,1600384,High School,1440186122443,1440186077424,1440186077440,idm0nifs,44,103,382870,25-29,800,737,idm0nifs,1440185844960
1440182929166,24305,Male,Chrome,1920,1440182905592,1920,23 or larger,ty!,7604,1440182936770,419167,High School,1440183327866,1440183324759,1440183324759,idlzptw2,44,98,6EB5F2,25-29,1040,955,idlzptw2,1440183300454
1440088738253,59486,Male,Chrome,1920,1440088719462,1920,23 or larger,Leave feedback here,6795,1440088745048,687580,Bachelors,1440089432135,1440089407035,1440089407042,idkfn3ew,44,31,416902,25-29,1040,955,idkfn3ew,1440089347549
1440426688156,51890,Female,Safari,1280,1440426574196,1274,15,Best wishes on your research.,720093,1440427408249,734507,Bachelors,1440427411169,1440427308700,1440427308703,idq0shsa,6,158,1B6160,25-29,774,562,idq0shsa,1440427256810
1440089354804,41883,Female,Chrome,1804,1440089269674,1804,21,Thanks for a fun task!,20253,1440089375057,663692,Bachelors,1440089973390,1440089933359,1440089933366,idkfyvwb,44,38,4DFAE0,30-39,1080,995,idkfyvwb,1440089891476
1440177705026,76839,Female,Chrome,1366,1440177667594,1187,13,"Interesting, but hard!",12754,1440177717780,1274156,Bachelors,1440179038932,1440178941732,1440178941750,idlwlj6v,44,85,765F27,60+,728,615,idlwlj6v,1440178864893
1440106470196,33627,Male,Chrome,1366,1440106416554,1366,17,I left the wrong code in the survey box. sorry.,12407,1440106482603,619766,High School,1440107071654,1440107036312,1440107036320,idkq6ekg,44,67, A1ZD9SJXQ9C6EW,18-24,721,633,idkq6ekg,1440107002685
1440455527147,32466,Female,Chrome,1360,1440455499960,1360,23 or larger,nice survey ,8148,1440455535295,481102,High School,1440455939142,1440455981056,1440455981062,idqi0h0s,44,205,2EC815,30-39,738,677,idqi0h0s,1440455948590
1440103047787,26462,Female,Chrome,1362,1440103021518,1255,11,"I'm very bad at reading charts, please forgive me!",23408,1440103071195,862815,High School,1440103896017,1440103884329,1440103884333,idko5my3,40,64,27574B,18-24,746,674,idko5my3,1440103857867
1439998948046,88765,Male,Chrome,1600,1439998941320,1600,19,"I felt like even when the area or arc length style was portrayed, I could still use the angle to see what the percentage was and vice versa.  Even with only one type being specified for each chart, I found that I sort of use a combination of all three ""strategies"".",3424,1439998951470,777698,High School,1439999851103,1439999719010,1439999719018,idiy6u57,44,6,5A9721,25-29,870,809,idiy6u57,1439999630245
1440029150591,49129,Female,Chrome,1600,1440029135389,1280,dontknow,Leave feedback here,25432,1440029176023,503174,High School,1440029674270,1440029638549,1440029638563,idjg5zzf,44,26,341618,25-29,860,639,idjg5zzf,1440029589420
1440195115851,48615,Female,Chrome,2560,1440195063201,1154,23 or larger,"Very fun, actually--Best of luck with your research!",7474,1440195123325,1468141,Bachelors,1440196558035,1440196531340,1440196531342,idm6yert,44,134,6C27FB,25-29,1341,836,idm6yert,1440196482725
1440194448269,49180,Male,Chrome,1920,1440194444166,1920,23 or larger,Everything worked well.,4743,1440194453012,1490992,High School,1440195986799,1440195935141,1440195935158,idm6l544,44,127,7CBBBC,30-39,1040,979,idm6l544,1440195885961
1440432140519,64147,Female,Chrome,1366,1440432083908,1366,15,Interesting and enjoyable.,9992,1440432150511,830232,Other,1440433289301,1440432914136,1440432914140,idq42l1w,44,179,607B46,30-39,728,667,idq42l1w,1440432849989
1440439365467,69691,Male,Chrome,1920,1440439347469,1920,23 or larger,,10129,1440439375596,792553,High School,1440440139869,1440440140014,1440440140022,idq8e9os,44,191,489213,30-39,1040,955,idq8e9os,1440440070323
1440111789143,52909,Male,Chrome,1366,1440111777669,1366,15,Leave feedback here,12175,1440111801318,408511,Bachelors,1440112191298,1440112186166,1440112186180,idktdb6v,44,81,494571,25-29,728,643,idktdb6v,1440112133257
1440089502513,58389,Female,Chrome,1680,1440089481249,1680,21,Fun interesting survey.  I love math so this was interesting and made me use my brain.,28553,1440089531066,989342,High School,1440090510700,1440090470583,1440090470591,idkg3f7o,44,39,4119E4,30-39,1010,949,idkg3f7o,1440090412194
1440453660566,35446,Male,Chrome,1366,1440453655759,1366,17,no comments,5637,1440453666203,643529,Bachelors,1440455175746,1440454299279,1440454299288,idqgwxw2,44,197,542088,50-59,728,667,idqgwxw2,1440454263833
1440453705274,33552,Female,Chrome,1344,1440453682053,805,21,Leave feedback here ,74105,1440453779379,347990,High School,1440454041507,1440454030038,1440454030043,idqgxib8,44,198,376A50,25-29,985,710,idqgxib8,1440453996486
1440183173543,96525,Male,Chrome,1360,1440183150472,1360,23 or larger,Leave feedback here,9818,1440183183361,1074274,High School,1440184283357,1440184224731,1440184224746,idlzv2qi,44,101,45528F,18-24,728,667,idlzv2qi,1440184128206
1439998260313,32574,Male,Chrome,1680,1439998240025,1680,23 or larger,Interesting!,7660,1439998267973,413823,Bachelors,1439998933656,1439998653838,1439998653848,idixrt0q,44,0,30EFBF,25-29,1022,937,idixrt0q,1439998621264
1440426164484,23370,Female,Chrome,1600,1440426150559,1600,15,Leave feedback here,6074,1440426170558,286135,High School,1440426569801,1440426436681,1440426436694,idq0jewx,44,155,5FFCAA,30-39,860,799,idq0jewx,1440426413311
1440102874486,25097,Male,Chrome,1280,1440102869295,1280,11,,433130,1440103307616,441389,High School,1440103309463,1440103310673,1440103310684,idko2dhh,44,61,398AD8,25-29,664,622,idko2dhh,1440103285576
1440110719340,78703,Female,Chrome,1440,1440110667026,1440,17,Thanks so much!  I didn't realize how much I used angle when calculating the % - this was fun.,7385,1440110726725,1614547,Bachelors,1440112358694,1440112281566,1440112281573,idkspi6t,44,72,90AA76,40-49,860,775,idkspi6t,1440112202863
1440433801571,33613,Male,Chrome,1680,1440433790172,1680,17,There was one entry where the survey froze on me and I think i entered 706%; It was supposed to be 70%,7002,1440433808573,543905,Bachelors,1440434396261,1440434334072,1440434334077,idq535nk,43,186,639802,30-39,1010,925,idq535nk,1440434300459
1440102790709,25448,Male,Chrome,1920,1440102744095,1920,21,THANKS!,5015,1440102795724,398177,High School,1440103175705,1440103142265,1440103142272,idknzou1,44,58,86CC0A,18-24,1085,990,idknzou1,1440103116817
1440179866333,72166,Male,Chrome,1920,1440179862215,1920,21,n/a,11879,1440179878212,610545,High School,1440180520031,1440180472754,1440180472760,idlxwlk6,44,91,3E486E,30-39,1040,955,idlxwlk6,1440180400588
1440178918373,43449,Female,Chrome,1366,1440178910600,1366,15,,10489,1440178928862,1107984,Bachelors,1440180022453,1440180018579,1440180018584,idlxc7bf,44,90,1313CE,60+,728,643,idlxc7bf,1440179975130
1440193932443,43641,Male,Chrome,1024,1440193915451,1024,15,Thanks for the opportunity to participate.,5023,1440193937466,494714,Bachelors,1440194439900,1440194410159,1440194410165,idm69t52,44,117,6CB2C9,30-39,768,705,idm69t52,1440194366518
1440110491258,70883,Female,Chrome,1600,1440110462734,1600,17,thank you,12236,1440110503494,1095330,High School,1440111586533,1440111558048,1440111558064,idksl4kf,44,70,619C5C,40-49,860,775,idksl4kf,1440111487165
1440000218532,28008,Male,Chrome,1366,1440000212523,1366,15,,4201,1440000222733,222263,High School,1440000433157,1440000434778,1440000434786,idiyy31w,44,11,4CC4AF,25-29,728,643,idiyy31w,1440000406770
1440431988402,82754,Male,Chrome,1920,1440431949311,1920,21,"Interesting survey, good luck with your research! ",13213,1440432001615,1380361,High School,1440433350329,1440433329670,1440433329672,idq3zp99,44,174,4272B7,25-29,1040,955,idq3zp99,1440433246916
1440025605178,64998,Male,Chrome,1920,1440025583510,950,21,none,11669,1440025616847,744900,High School,1440026357378,1440026328407,1440026328410,idje1vfp,44,14,54530C,18-24,1040,934,idje1vfp,1440026263409
1440026698149,37905,Female,Chrome,1600,1440026678700,874,21,none,15944,1440026714093,689279,Bachelors,1440027385086,1440027367973,1440027367979,idjepcg2,44,22,5C6BC0,30-39,870,754,idjepcg2,1440027330068
1440108321741,69737,Female,Chrome,1366,1440108286899,1229,15,Leave feedback here,14520,1440108336261,702088,High School,1440109018055,1440108988974,1440108988987,idkraho9,44,68,872F75,30-39,768,655,idkraho9,1440108919237
1440178615443,83921,Female,Chrome,1366,1440178599616,1366,19, ,5590,1440178621033,1056055,Bachelors,1440179657743,1440179655663,1440179655671,idlx5jc4,44,87,801B55,25-29,728,643,idlx5jc4,1440179571742
1440025710439,147800,Female,Chrome,1920,1440025671424,989,23 or larger,Thank you.,15500,1440025725939,1334315,Bachelors,1440027029442,1440027005732,1440027005739,idje3r8h,44,16,1B02B5,50-59,1040,842,idje3r8h,1440026857932
1439998650504,40841,Female,Chrome,1920,1439998622442,1920,21, ,10383,1439998660887,1850712,High School,1440000490717,1440000473150,1440000473154,idiy0044,44,4,30384D,30-39,1040,955,idiy0044,1440000432309
1440029863021,34817,Male,Chrome,1920,1440029835359,1280,21,hello,13245,1440029876266,891616,High School,1440030794133,1440030726971,1440030726975,idjgl059,44,28,6389EE,50-59,1032,647,idjgl059,1440030692154
1440185578333,81406,Male,Chrome,1920,1440185556093,1920,21,N/A,5445,1440185583778,1061762,Bachelors,1440186666361,1440186617840,1440186617855,idm1amp9,44,106,2189B9,25-29,1018,957,idm1amp9,1440186536434
1440025757066,34917,Female,Chrome,1366,1440025726706,1366,15,,6067,1440025763133,461649,Bachelors,1440026196734,1440026188352,1440026188355,idje4xme,44,17,1C1037,25-29,738,677,idje4xme,1440026153435
1439999776559,20063,Male,Chrome,1920,1439999758219,854,15,,19418,1439999795977,368013,Bachelors,1440000126327,1440000126230,1440000126232,idiyocjb,44,9,6A8F74,18-24,1040,779,idiyocjb,1440000106167
1440177203501,56337,Male,Chrome,1440,1440177160816,1212,21,"At some point I started judging some of those angles like triangle angles (90 degrees, etc).  I am not sure why I started doing that but I corrected myself as quickly as possible.  Unfortunately some of my angle judging answers are going to be quite inaccurate, I apologize.",9823,1440177213324,936381,Bachelors,1440178397340,1440178097192,1440178097197,idlwap6n,44,83,6DED94,40-49,900,762,idlwap6n,1440178040855
1440091244674,42502,Male,Chrome,1920,1440091181849,1920,13,Very fun!,4722,1440091249396,596517,Bachelors,1440091784134,1440091778355,1440091778366,idkh3v7c,44,45,2CDD85,30-39,1040,979,idkh3v7c,1440091735853
1440193872799,104454,Female,Chrome,1920,1440193834439,1353,23 or larger,Very interesting!,9994,1440193882793,1755388,Masters,1440195641435,1440195589822,1440195589827,idm682mf,44,111,23ABEF,60+,1053,956,idm682mf,1440195485368
1440464398819,31839,Male,Chrome,1366,1440464349623,1366,11,,5401,1440464404220,451993,Masters,1440464800374,1440464801604,1440464801616,idqna5dr,44,208,82AD32,30-39,728,643,idqna5dr,1440464769765
1440180987405,31498,Male,Chrome,1436,1440180976573,1436,13,I have no comments.,5960,1440180993365,639051,Bachelors,1440181641897,1440181615618,1440181615624,idlykhb1,44,93,8870D6,25-29,877,805,idlykhb1,1440181584120
1440429560936,50083,Male,Chrome,1366,1440429554029,1366,19,"Fun study, I did have problems in Firefox however I tried Chrome and everything worked properly, Thank You.",13562,1440429574498,776036,Bachelors,1440430450559,1440430330055,1440430330065,idq2kcx3,44,172,442A72,50-59,728,667,idq2kcx3,1440430279972
1440428875068,44034,Male,Chrome,1366,1440428840583,1366,15,n/a,8637,1440428883705,929510,High School,1440429795863,1440429770088,1440429770093,idq2527j,44,168,3DA623,40-49,738,677,idq2527j,1440429726054
1439998295902,68428,Female,Chrome,1366,1439998266562,991,11,"No issues, thanks.",7371,1439998303273,1050037,Bachelors,1439999370396,1439999316584,1439999316599,idixsdhy,44,1,92A73E,30-39,721,626,idixsdhy,1439999248156
1440183050440,28108,Male,Chrome,1366,1440183036497,1366,17,all clear,5981,1440183056421,312692,Bachelors,1440183380062,1440183349174,1440183349189,idlzsmk9,44,100,71A5F3,40-49,728,643,idlzsmk9,1440183321066
1440182726315,60366,Female,Chrome,1360,1440182690190,1360,17,NO COMMENTS,15219,1440182741534,962523,Bachelors,1440183680962,1440183652698,1440183652713,idlzl7nd,44,94,5C9491,40-49,720,635,idlzl7nd,1440183592332
1440426479794,28980,Female,Chrome,1366,1440426466356,1366,15,"Great study, thanks!",9289,1440426489083,428599,Bachelors,1440426911797,1440426894950,1440426894955,idq0q6es,44,156,314A50,25-29,728,643,idq0q6es,1440426865970
1440431985619,62278,Female,Chrome,1920,1440431963389,1694,13,This was interesting. I have never considered that I wasn't just using area to interpret charts.,18509,1440432004128,599165,Bachelors,1440433008562,1440432562554,1440432562554,idq3zzt6,44,176,2C638D,30-39,1030,846,idq3zzt6,1440432500276
1440455780487,29868,Male,Chrome,1600,1440455768584,1600,23 or larger,,7895,1440455788382,437122,Bachelors,1440456234662,1440456205702,1440456205706,idqi688n,44,207,160604,40-49,1172,1087,idqi688n,1440456175834
1439998328905,32650,Female,Chrome,1366,1439998316787,1328,17,None.,6322,1439998335227,430441,High School,1439998749631,1439998747210,1439998747228,idixtg0e,44,2,4E4862,30-39,728,595,idixtg0e,1439998714560
1440111189008,83367,Male,Chrome,1600,1440111155867,1277,23 or larger,"no issues, thank you",31310,1440111220318,895856,Bachelors,1440112114338,1440112051715,1440112051723,idkszzfq,44,80,600890,50-59,865,694,idkszzfq,1440111968348
1440093236529,42093,Female,Chrome,1280,1440093218464,1280,17,,814503,1440094051032,839551,Bachelors,1440094063265,1440094058012,1440094058015,idkibiwe,44,46,931CA1,40-49,664,622,idkibiwe,1440094015919
1440453971508,43138,Male,Chrome,1366,1440453956962,1366,15,na,135537,1440454107045,1041785,Bachelors,1440455007254,1440454998743,1440454998747,idqh3e5b,44,200,78CE18,18-24,728,643,idqh3e5b,1440454955605
1440197151957,26688,Male,Chrome,1600,1440197146607,1600,17,I started this activity earlier today but had to return it as something else came up. I have not completed it in full before - I hope this is OK.,4081,1440197156038,600505,Bachelors,1440197787551,1440197747108,1440197747112,idm872bn,44,143,6EE1E2,25-29,860,775,idm872bn,1440197720420
1440026646807,50738,Male,Chrome,1920,1440026620049,1697,21,I was extremely confused as to how to read the data involving the lines with pointer marks. I don't know if I'm just stupid and didn't understand (I've never seen that format before) or if the instructions were a bit unclear.,9013,1440026655820,876093,High School,1440027566395,1440027496139,1440027496142,idjeo37s,44,21,2B8ACD,25-29,1040,933,idjeo37s,1440027445401
1440180997126,87093,Female,Chrome,1600,1440180894736,1600,21,thank you,19554,1440181016680,1445522,High School,1440182374634,1440182340258,1440182340258,idlyiq3t,44,92,18BF2C,50-59,860,799,idlyiq3t,1440182253165
1440110820231,26986,Male,Chrome,1920,1440110791855,1404,15,OK,5018,1440110825249,1169953,Bachelors,1440111881536,1440111961804,1440111961808,idkss6lb,44,73,73644A,25-29,1160,1047,idkss6lb,1440111934818
1440430029246,58672,Male,Chrome,1920,1440430010111,1920,15,none,6128,1440430035374,829463,Masters,1440430867041,1440430839565,1440430839574,idq2u4xj,44,173,566F18,25-29,1030,945,idq2u4xj,1440430780893
1440029438504,68254,Male,Chrome,2048,1440029401635,1008,23 or larger,Leave feedback here,9859,1440029448363,615547,High School,1440030077146,1440030017176,1440030017182,idjgbphl,44,27,1C3EB9,18-24,1122,1009,idjgbphl,1440029948922
1440453870632,56055,Female,Chrome,1920,1440453848236,1920,23 or larger,,9283,1440453879915,1135058,Bachelors,1440454987687,1440454983290,1440454983294,idqh12lu,44,199,81E60B,25-29,1040,979,idqh12lu,1440454927235
1440089841092,44545,Male,Chrome,1920,1440089833711,950,23 or larger,"Been a while since I enjoyed working on a task, thank you.",6716,1440089847808,492589,High School,1440090385006,1440090326296,1440090326300,idkgayiw,44,42,31B5A7,30-39,1080,974,idkgayiw,1440090281751
1440197676881,51877,Male,Chrome,1366,1440197657532,1366,21,enjoyed the task it was something new to do i liked it thank you ,6799,1440197683680,895582,High School,1440198585696,1440198553104,1440198553114,idm8i0hh,44,146,290396,25-29,728,667,idm8i0hh,1440198501227
1440193791748,29179,Female,Chrome,1366,1440193783684,1366,dontknow,none,10049,1440193801797,507343,High School,1440194310876,1440194291024,1440194291027,idm66zgz,44,109,7F988B,30-39,728,643,idm66zgz,1440194261845
1440432390939,115299,Female,Chrome,1152,1440432366165,1147,13,Thanks for this interesting study. I had some trouble understanding the angle encoding and I think my answers about those questions might be incorrect. I am really sorry about it. I am still confused about how you read the angle data. ,26224,1440432417163,1813652,Masters,1440434285255,1440434179802,1440434179817,idq48mcm,44,181,573621,40-49,635,563,idq48mcm,1440434064503
1440433380712,64293,Female,Chrome,1366,1440433103263,1366,19,--,9635,1440433390347,903674,High School,1440434036949,1440434006930,1440434006937,idq4ofmr,44,185,2BEF40,50-59,728,667,idq4ofmr,1440433942637
1440427239399,70366,Male,Chrome,1920,1440427215252,1920,23 or larger,"At the beginning of the study, it was not clear what color of the chart I was supposed to be estimating. It wasn't until a couple question and the estimated percentages were given that I fully understood which color I was supposed to be estimating.",11127,1440427250526,923690,High School,1440428220460,1440428138936,1440428138942,idq168fg,44,161,4C05F0,30-39,1200,1113,idq168fg,1440428068570
1440110693452,143449,Male,Chrome,1440,1440110680765,1440,15,Leave feedback here,6733,1440110700185,1487065,High School,1440112197007,1440112167827,1440112167830,idkspss2,44,72,64FB77,30-39,783,711,idkspss2,1440112024378
1440182997259,50275,Male,Chrome,1276,1440182987036,1276,23 or larger,Thank you!,31675,1440183028934,1158807,High School,1440184178570,1440184145839,1440184145843,idlzrko4,44,99,676A2D,18-24,777,682,idlzrko4,1440184095564
1440453674965,60838,Female,Chrome,1600,1440453642269,1600,17,n/a,10556,1440453685521,934040,Other,1440454602560,1440454576293,1440454576309,idqgwnmg,45,196,973929,40-49,855,770,idqgwnmg,1440454515455
1440110870396,60106,Male,Chrome,1440,1440110864196,1440,23 or larger,I thought it was an interesting study. I thought it was educational and also a little challenging.,5052,1440110875448,655647,Bachelors,1440111570392,1440111519833,1440111519843,idkstqdw,46,77,46C342,30-39,852,791,idkstqdw,1440111459727
1440454565215,53324,Male,Chrome,1280,1440454549237,1280,15,It was interesting.,6777,1440454571992,598757,High School,1440455189422,1440455147983,1440455147994,idqhg3fq,44,204,46EB35,40-49,760,699,idqhg3fq,1440455094659
1440089567158,86298,Male,Chrome,1366,1440089546932,1366,13,I have no additional comments.,7471,1440089574629,1585439,Bachelors,1440091170839,1440091132358,1440091132371,idkg4thq,44,40,3AA453,25-29,728,667,idkg4thq,1440091046060
1440432308635,33924,Male,Chrome,1366,1440432304455,1366,17,"Interesting study, thank you.",6663,1440432315298,515758,High School,1440432826275,1440432820208,1440432820213,idq47az4,44,180,41808A,30-39,728,643,idq47az4,1440432786284
1440196825874,64006,Female,Chrome,1920,1440196798120,1556,21,"No comments, thanks for the opportunity to participate!",12114,1440196837988,1423831,Bachelors,1440198265108,1440198221947,1440198221951,idm7zlfh,43,141,22DCB2,30-39,977,861,idm7zlfh,1440198157941
1440178796074,53228,Male,Chrome,1366,1440178616792,1366,dontknow,N/A,10553,1440178806627,680423,High School,1440179359061,1440179297206,1440179297215,idlx5wmq,44,88,5E9590,25-29,728,667,idlx5wmq,1440179243978
1440102797768,38253,Male,Chrome,1280,1440102792559,1280,17,nothing to add,7055,1440102804823,721380,High School,1440103556276,1440103513935,1440103513939,idko0q9c,44,58,782EEF,30-39,984,899,idko0q9c,1440103475682
1440183222659,53127,Male,Chrome,1301,1440183181653,1301,15,good hit fair pay,18989,1440183241648,622884,High School,1440183871860,1440183804528,1440183804537,idlzvqwe,43,102, A2TDGWWPX6IMIZ,60+,744,681,idlzvqwe,1440183751401
1440026359874,80271,Female,Chrome,1366,1440026354188,1366,15,"Confused with arrows pointing in and out, hopefully I didn't mess up the data.",7209,1440026367083,1936632,Bachelors,1440034252315,1440028290816,1440028290820,idjeie20,44,20,664B01,30-39,724,663,idjeie20,1440028210545
1440089165554,29884,Male,Chrome,1366,1440089133878,1366,15,I was hard to estimate the donut angle.,8902,1440089174456,533525,Bachelors,1440089702047,1440089667391,1440089667403,idkfvyys,41,36,7033C6,40-49,728,667,idkfvyys,1440089637507
1440111910077,18896,Male,Chrome,1920,1440111899518,1920,23 or larger,It was great!,6051,1440111916128,325719,PhD,1440112239306,1440112225230,1440112225237,idktfxar,44,82,8AF15B,30-39,1040,979,idktfxar,1440112206334
1440432524046,30897,Female,Chrome,1920,1440432512395,1920,17,INTERESTING,4433,1440432528479,438494,High School,1440432964214,1440432950885,1440432950889,idq4brsu,44,183,6CDC98,25-29,1032,971,idq4brsu,1440432919988
1440197294878,38668,Female,Chrome,1366,1440197288491,1366,dontknow,no comments,7538,1440197302416,353015,Bachelors,1440197661105,1440197641483,1440197641506,idm8a3sr,44,145,2DA334,40-49,768,705,idm8a3sr,1440197602815
1440427701083,38612,Male,Chrome,1365,1440427683679,1241,15,,8993,1440427710076,763783,High School,1440428445388,1440428447450,1440428447462,idq1g9tw,42,162,7B95B0,40-49,711,584,idq1g9tw,1440428408838
1440000443391,41354,Female,Chrome,1920,1440000404082,1304,17,"Thanks, did my best....",39021,1440000482412,607600,High School,1440001031146,1440001011677,1440001011682,idiz26te,44,12,2EFEF6,30-39,1200,1106,idiz26te,1440000970323
1440177571990,39082,Male,Chrome,1366,1440177544292,1366,15,Leave feedback here,10844,1440177582834,784865,Bachelors,1440178361101,1440178329147,1440178329157,idlwix24,44,84,562B23,30-39,728,643,idlwix24,1440178290065
1440103964831,42189,Male,Chrome,1920,1440103959533,1266,21,none,7984,1440103972815,595525,Bachelors,1440104598501,1440104555054,1440104555058,idkopqqp,44,66,39D79B,30-39,1053,958,idkopqqp,1440104512865
1440102850003,41642,Male,Chrome,1280,1440102836321,1280,19,,9837,1440102859840,630427,Bachelors,1440103468077,1440103466744,1440103466748,idko1nol,44,60,439C15,25-29,925,853,idko1nol,1440103425102
1439998511465,26894,Female,Chrome,1366,1439998477256,1366,19,"I was confused by the arrow ones.

Have a great week!",7956,1439998519421,584685,High School,1439999098721,1439999061928,1439999061941,idixwvv5,44,3,2D3941,25-29,728,643,idixwvv5,1439999035034
1440182735841,86379,Male,Chrome,1842,1440182702093,1842,23 or larger,"I honestly tried my best at this, I've never been great at math and after it stopped being regular donut charts I felt lost but still gave it my best shot.

Hit itself was quite fun even if it made me feel stupid the entire time so thanks!",53903,1440182789744,890920,High School,1440183650793,1440183593011,1440183593013,idlzlgtk,44,95,132E97,30-39,1026,939,idlzlgtk,1440183506632
1440110967591,19930,Female,Chrome,1366,1440110840553,1366,15,idkst7dv,11213,1440110978804,558434,Bachelors,1440111405117,1440111398975,1440111398987,idkst7dv,44,77,908639,18-24,720,635,idkst7dv,1440111379045
1440088694717,93558,Female,Chrome,1440,1440088652265,971,13,Leave feedback here,35719,1440088730436,909849,Bachelors,1440089588903,1440089562098,1440089562114,idkflnis,44,30,6ADD8E,18-24,810,735,idkflnis,1440089468540
1440426987631,71134,Female,Chrome,1366,1440426966427,1366,23 or larger,What a great HIT! Lots of fun and interesting.,8484,1440426996115,659583,Bachelors,1440427654724,1440427626004,1440427626010,idq10wfp,44,160,AYCHPTQRYDT7G,40-49,728,643,idq10wfp,1440427554870
